AuthorID,Author,Date,Content,Attachments,Reactions
"819708932876140575","shanelavalette#2830","2021-11-21","@Founding Artists 
Direct link to spaces:

https://twitter.com/i/spaces/1RDGlgBwPwOKL","","🙏 (4),pepeLove (1),🔥 (1)"
"820715430683082835","omarzrobles#9845","2021-11-21","https://twitter.com/i/spaces/1RDGlgBwPwOKL","",""
"820715430683082835","omarzrobles#9845","2021-11-21","sorry @shanelavalette didn't see you had posted the link... @Founding Artists join us at Deeze's spaces","",""
"820715430683082835","omarzrobles#9845","2021-11-21","loving how the conversation started with something fun and relatable...cuddos @cooper","",""
"693277954519728138","Lapsus#4632","2021-11-21","Lets spread the 3 first tweets of this thread for a final push 👊 https://twitter.com/therawdao/status/1462433705985810440?s=21","","🔥 (2),Fire1_White (1)"
"820715430683082835","omarzrobles#9845","2021-11-21","can we try to get the conversation back to RAW ?","",""
"693277954519728138","Lapsus#4632","2021-11-21","Ok; it was great once again!","",""
"693277954519728138","Lapsus#4632","2021-11-21","Creating a beast / that doesn't exist (@alexcartagenamex on the spot)","","🤩 (2),Fire1_White (1)"
"819708932876140575","shanelavalette#2830","2021-11-21","👏 all","","👯 (2),💯 (2),ToadVibe (1)"
"819708932876140575","shanelavalette#2830","2021-11-21","So close to 700! 🐛","",""
"389803426877407232","lucaspon#3865","2021-11-21","Yes I will set a notion workspace for us this week.","","👌 (2)"
"693277954519728138","Lapsus#4632","2021-11-21","What about a channel on artistic vision and values?","",""
"693277954519728138","Lapsus#4632","2021-11-21","I suppose we'll end up needing one for branding-marketing, external and internal relations (we can include artists and collectors there), collections and projects (and I hope we can stop there 😬 ).","",""
"704460941772849302","cooper#6009","2021-11-21","RAW DAOOOOoooo","",""
"704460941772849302","cooper#6009","2021-11-21","that space went great.","",""
"704460941772849302","cooper#6009","2021-11-21","thanks everyone","",""
"704460941772849302","cooper#6009","2021-11-21",":ToadVibe:","","🐸 (7)"
"693277954519728138","Lapsus#4632","2021-11-21","Keep retweeting till 1k RTs and the corollary of all this effort: 1k ETH.","",""
"809382179468476456","mdr#8647","2021-11-21","709.3924 💥","","💯 (6),catJAM (1),ToadSquirtlevibe (1),DiscoDancer (1)"
"693277954519728138","Lapsus#4632","2021-11-21","Don't sleep till 1000!","","🙌🏻 (1),🔥 (2)"
"693277954519728138","Lapsus#4632","2021-11-21","I put the ongoing docs we have in an index there, along with some archive material. There is this third doc @alexcartagenamex mentioned in the call from two months ago that I couldn't retrieve and add (yet).","",""
"693277954519728138","Lapsus#4632","2021-11-21","https://docs.google.com/document/d/1LnISogD6jlF5FUFtPZRIUsAnvtclALVuvsxOwqzzjW4/edit","",""
"832722913765097535","chadwicktyler#3331","2021-11-21","thanks @Lapsus","","💯 (2)"
"817469690347257877","alexcartagenamex#4215","2021-11-21","Thank you @Lapsus. These are all outlines team. We should try as the documents show, to find stream line procedures and a clear vision like Fingerprints. I think we are almost there.","","💯 (3),👊 (2)"
"693277954519728138","Lapsus#4632","2021-11-21","Formated and added the third doc to the index. So now all the working material plus some archive is there: https://docs.google.com/document/d/1LnISogD6jlF5FUFtPZRIUsAnvtclALVuvsxOwqzzjW4/edit","","🤘 (6),🟠 (3),heart (3),👌 (2),👍 (1)"
"823934448835756052","michelleviljoen.eth#8371","2021-11-21","Thank you so much for doing this!!","","💯 (2)"
"833922506247110656","lightchronicler#4067","2021-11-22","Does anyone know how many TF fractions there will be? That is to say how much ETH equals  1$TF? I get that the total number of $TF depends on the final amount raised, but with a given amount what is the allocation?","",""
"833922506247110656","lightchronicler#4067","2021-11-22","Or maybe the total TF token amount is fixed already?","",""
"746551601296179231","DT | Luiz#4149","2021-11-22","10k fractions if I'm not mistaken","",""
"809382179468476456","mdr#8647","2021-11-22","🙏 great thank you & gm !","","🙏 (1)"
"833922506247110656","lightchronicler#4067","2021-11-22","@DT | Luiz when will the reserve be lowered and what’s the new reserve. Does that reset the party bid or will there just be a few hours left? Thanks. I’m trying to stay current so I can answer questions.","",""
"855092404147322910","RobinFriend#7507","2021-11-22","I’m pretty sure there is a 24 hr countdown as soon the reserve is lowered","",""
"832722913765097535","chadwicktyler#3331","2021-11-22","If the bid is not reached by 9 am est the bid will close. The bid can not be lowered. A new bid will have to start. Is how I understand it.","",""
"833922506247110656","lightchronicler#4067","2021-11-22","That would be unfortunate. Luiz has mentioned lowering the reserve.","",""
"832722913765097535","chadwicktyler#3331","2021-11-22","Yes but that would have to be a new bid. People came in on the basis of this evaluation not a lower evaluation. Is how I understand it.","",""
"833922506247110656","lightchronicler#4067","2021-11-22","A new bid means getting back to square 1.","",""
"832722913765097535","chadwicktyler#3331","2021-11-22","I could be wrong maybe the bid can just be adjusted and then the auction is activated like Robin suggested.","",""
